 181613      'BTI66M053'
 'MPI11M067 '    1.08e-02
 'MPI1A139  '   -4.18e-02
 'MPI2A067  '    1.98e-03
 'MPI2A139  '   -3.65e-02
 'MPI3A139  '   -3.46e-02
 'MPI4A139  '   -2.83e-02
 'MPI5A139  '   -2.74e-02
 'MPI66M247 '   -1.61e-02
 'MPI79A147 '   -5.92e-02
 'MPI67A142 '   -2.34e-02
 'MPI67A157 '   -8.11e-03
 'MPI67A097 '   -2.97e-02
 'MPI6NA132 '    6.30e-03
 'MPI6NA157 '   -1.01e-02
 'MPI66M067 '   -1.62e-02
 'MPI1B139  '   -2.45e-02
 'MPI2B067  '    2.40e-02
 'MPI2B139  '   -4.57e-02
 'MPI3B139  '   -3.90e-02
 'MPI4B139  '   -2.32e-02
 'MPI5B139  '   -4.61e-02
 'MPI66M157 '    1.50e-02
 'MPI1B157  '   -4.84e-03
 'MPI79B142 '   -1.63e-02
 'MPI7NB142 '   -1.38e-02
 'MPI67B157 '   -1.35e-02
 'MPI67B097 '   -1.59e-02
 'MPI6FB142 '    6.31e-03
 'MPI6NB157 '    2.43e-02
 'MPI8A322  '   -1.07e-03
 'MPI89A322 '   -1.58e-03
 'MPI9A322  '    2.34e-03
 'MPI79FA322'    3.24e-04
 'MPI79NA322'    3.13e-02
 'MPI7FA322 '    3.63e-03
 'MPI7NA322 '   -9.18e-04
 'MPI67A322 '    7.64e-04
 'MPI6FA322 '    1.25e-03
 'MPI6NA322 '   -2.37e-04
 'MPI66M322 '    2.20e-03
 'MPI6NB322 '    2.22e-04
 'MPI6FB322 '    2.08e-03
 'MPI67B322 '   -4.08e-03
 'MPI7NB322 '   -1.66e-02
 'MPI7FB322 '   -3.09e-03
 'MPI79B322 '   -3.14e-04
 'MPI9B322  '    7.24e-03
 'MPI89B322 '   -4.41e-03
 'MPI8B322  '   -1.76e-03
 'MPI5B322  '   -2.12e-03
 'MPI4B322  '    3.08e-03
 'MPI3B322  '    5.44e-04
 'MPI2B322  '   -1.25e-02
 'MPI1B322  '    1.66e-03
 'MPI11M322 '   -4.82e-04
 'MPI1A322  '   -1.59e-03
 'MPI2A322  '    3.87e-03
 'MPI3A322  '    2.17e-02
 'MPI4A322  '    8.32e-04
 'MPI5A322  '    3.70e-03
 'MPI1U157  '   -1.75e-02
 'MPI2U157  '    3.59e-02
 'MPI3U157  '   -7.62e-02
 'MPI4U157  '   -2.40e-02
 'DSL1U180  '   -8.90e-03
 'DSL2U180  '    5.94e-03
 'DSL3U180  '   -3.72e-03
 'DSL4U157  '    3.35e-03
 'MPI5U157  '   -6.98e-02
 'MPI6U157  '   -3.30e-02
 'MPI7U157  '   -1.24e-02
 'DSL5U157  '    5.69e-03
 'DSL6U157  '    0.00e+00
 'MPI1L180  '    4.01e-02
 'MPI2L180  '   -4.19e-03
 'MPI3L180  '    2.33e-02
 'PSF1A     '   -1.37e-04
 'PSF2A     '   -1.85e-04
 'PSF3A     '   -3.15e-04
 'PSF4A     '   -2.54e-04
 'PSF5A     '   -6.51e-05
 'PSF6NA    '   -2.86e-04
 'PSF7NA    '    0.00e+00
 'PSF8A     '    1.73e-04
 'PSF9A     '    4.00e-04
 'PSF1B     '   -7.76e-05
 'PSF2B     '   -5.06e-07
 'PSF3B     '    6.23e-05
 'PSF4B     '    3.08e-04
 'PSF5B     '    5.34e-04
 'PSF6NB    '    2.20e-04
 'PSF7NB    '   -6.59e-05
 'PSF8B     '    6.87e-04
 'PSF9B     '    6.11e-04
 'PSI11M    '   -1.41e-04
 'PSI12A    '   -1.22e-04
 'PSI23A    '   -8.76e-05
 'PSI34A    '    4.13e-04
 'PSI45A    '   -8.40e-05
 'PSI58A    '    9.08e-05
 'PSI9A     '    4.91e-04
 'PSF7FA    '    4.40e-04
 'PSI7A     '    4.42e-04
 'PSF6FA    '   -1.13e-04
 'PSI6A     '   -2.24e-05
 'PSI12B    '   -2.98e-05
 'PSI23B    '    6.53e-05
 'PSI34B    '    2.85e-04
 'PSI45B    '    3.28e-04
 'PSI58B    '    6.35e-04
 'PSI9B     '    6.30e-04
 'PSF7FB    '    7.94e-05
 'PSI7B     '    2.29e-04
 'PSF6FB    '    2.40e-04
 'PSI6B     '    3.25e-04
 'PSI89FB   '    5.01e-04
 'PSI89NB   '    5.21e-04
 'PSI1L     '    4.24e-04
 'PSI2L     '    4.10e-04
 'PSI3L     '    4.25e-04
 156456      'BTI66M053'
 'MPI11M067 '    7.67e-03
 'MPI2A067  '    1.51e-03
 'MPI2B067  '    2.32e-02
 'MPI66M067 '   -1.48e-02
 'MPI67A067 '   -2.83e-02
 'MPI67B067 '   -2.97e-02
 'MPI1A139  '   -4.09e-02
 'MPI2A139  '   -3.54e-02
 'MPI3A139  '   -3.39e-02
 'MPI4A139  '   -2.80e-02
 'MPI5A139  '   -2.71e-02
 'MPI79A147 '   -5.89e-02
 'MPI7NA142 '   -1.66e-02
 'MPI67A3   '   -3.88e-03
 'MPI6FA142 '    3.11e-04
 'MPI6NA157 '   -1.07e-02
 'MPI66M157 '    1.45e-02
 'MPI1B157  '   -5.18e-03
 'MPI1B139  '   -4.04e-02
 'MPI2B139  '   -4.61e-02
 'MPI3B139  '   -3.84e-02
 'MPI4B139  '   -2.29e-02
 'MPI5B139  '   -4.61e-02
 'MPI79B142 '   -1.22e-02
 'MPI7NB142 '   -1.37e-02
 'MPI67B3   '   -2.22e-02
 'MPI6FB142 '    7.04e-03
 'MPI6NB157 '    2.52e-02
 'MPI66M247 '   -1.66e-02
 'MPI8A322  '   -7.02e-04
 'MPI89A322 '   -2.32e-03
 'MPI9A322  '    1.87e-03
 'MPI79FA322'    8.29e-04
 'MPI79NA322'    2.12e-03
 'MPI7FA322 '    3.80e-03
 'MPI7NA322 '   -1.17e-03
 'MPI67A322 '    2.72e-04
 'MPI6FA322 '    8.96e-04
 'MPI6NA322 '   -5.80e-04
 'MPI66M322 '    1.19e-03
 'MPI6NB322 '   -4.37e-05
 'MPI6FB322 '    2.08e-03
 'MPI67B322 '   -3.08e-03
 'MPI7NB322 '   -1.65e-02
 'MPI7FB322 '   -3.01e-03
 'MPI79B322 '    6.79e-04
 'MPI9B322  '    6.24e-03
 'MPI89B322 '   -4.16e-03
 'MPI8B322  '   -4.53e-03
 'MPI5B322  '    4.01e-03
 'MPI4B322  '    2.93e-03
 'MPI3B322  '   -3.44e-03
 'MPI2B322  '   -4.25e-05
 'MPI1B322  '    8.90e-04
 'MPI11M322 '   -7.10e-04
 'MPI1A322  '   -9.85e-04
 'MPI2A322  '    3.75e-03
 'MPI3A322  '   -6.75e-04
 'MPI4A322  '    5.04e-04
 'MPI5A322  '    2.73e-03
 'MPI1U157  '   -9.22e-03
 'MPI2U157  '    3.43e-02
 'MPI3U157  '   -8.09e-02
 'MPI4U157  '   -2.61e-02
 'DSL1U180  '   -1.73e-02
 'DSL2U180  '    6.12e-03
 'DSL3U180  '   -3.72e-03
 'DSL4U157  '    2.95e-03
 'MPI5U157  '   -7.27e-02
 'MPI6U157  '   -3.12e-02
 'MPI7U157  '   -1.12e-02
 'DSL5U157  '    4.39e-03
 'DSL6U157  '   -0.00e+00
 'MPI1L180  '    3.92e-02
 'MPI2L180  '   -9.19e-03
 'MPI3L180  '    2.33e-02
 'PSF1A     '   -1.36e-04
 'PSF2A     '   -8.24e-05
 'PSF3A     '   -1.72e-04
 'PSF4A     '   -1.25e-04
 'PSF5A     '   -2.48e-05
 'PSF6NA    '    1.80e-04
 'PSF7NA    '   -0.00e+00
 'PSF8A     '    2.36e-04
 'PSF9A     '    4.80e-04
 'PSF1B     '    8.11e-05
 'PSF2B     '    1.63e-04
 'PSF3B     '    2.39e-04
 'PSF4B     '    4.33e-04
 'PSF5B     '    6.60e-04
 'PSF6NB    '    6.23e-04
 'PSF7NB    '    3.38e-04
 'PSF8B     '    7.85e-04
 'PSF9B     '    8.53e-04
 'PSI11M    '    3.08e-05
 'PSI12A    '   -4.70e-05
 'PSI23A    '   -2.03e-05
 'PSI34A    '   -8.83e-05
 'PSI45A    '   -5.54e-05
 'PSI58A    '    1.25e-04
 'PSI9A     '    5.41e-04
 'PSF7FA    '    6.96e-04
 'PSI7A     '    6.53e-04
 'PSF6FA    '    3.20e-04
 'PSI6A     '    3.67e-04
