 181500        'PCIU30'   'PCIU90'  'PCIU150'   'PCIL30'   'PCIL90'  'PCIL150'  'PCIU210'  'PCIU270'  'PCIU330'  'PCIL210'  'PCIL270'  'PCIL330'
'MPI11M067 ' -2.389e-08  3.229e-08  4.387e-09 -7.027e-09 -1.772e-08  1.167e-08  6.640e-08  1.694e-09 -2.363e-08  2.295e-08  2.753e-08 -2.302e-08
'MPI2A067  ' -3.066e-08  9.728e-09  2.255e-09 -1.333e-08 -9.303e-09  1.540e-08  7.305e-08 -1.420e-10 -2.310e-08  2.073e-08  1.714e-08 -2.575e-08
'MPI2B067  ' -1.550e-08  2.456e-08  6.182e-09  4.177e-09  9.714e-09  1.996e-08  7.057e-08  7.676e-09 -1.829e-08  2.367e-08  3.545e-08 -1.329e-08
'MPI66M067 ' -4.982e-08 -2.620e-08  5.713e-09  1.001e-08  4.543e-08  2.293e-08  7.910e-08  1.227e-08 -2.787e-08  2.804e-08  2.671e-08 -1.651e-08
'MPI67A097 ' -2.121e-08  3.821e-08 -4.729e-10  2.799e-09  2.042e-08  1.456e-08  3.943e-08  3.194e-09 -1.613e-08  1.182e-08  1.115e-08 -2.705e-09
'MPI67B097 ' -2.549e-08 -9.084e-09 -6.331e-09  6.583e-09  1.563e-08  2.325e-08  4.275e-08  7.562e-09 -1.936e-08  7.855e-09  1.316e-08  2.645e-09
'MPI1A139  ' -6.617e-10  7.098e-09  3.046e-08 -4.972e-09 -1.249e-08 -3.423e-08  4.527e-09  2.732e-10  1.129e-09 -1.223e-08 -1.976e-09 -1.199e-09
'MPI2A139  '  1.224e-08  6.022e-09  2.689e-08 -1.557e-09 -1.838e-08 -2.228e-08  1.561e-08 -3.521e-09  4.137e-10  4.765e-10  1.565e-10  4.877e-10
'MPI3A139  '  5.143e-09 -1.947e-09  1.334e-08  6.098e-10 -1.499e-08 -3.166e-08  1.228e-08 -3.306e-09 -6.094e-09 -1.256e-08 -4.743e-09 -4.979e-09
'MPI4A139  ' -1.238e-08 -2.437e-09  7.637e-09 -1.106e-08 -1.859e-08 -2.220e-08 -1.033e-08 -1.677e-09 -4.127e-10 -1.996e-08 -3.051e-09  2.203e-09
'MPI5A139  '  1.499e-09  2.430e-09 -1.467e-08 -1.074e-09 -1.431e-09 -2.125e-08 -4.862e-09 -2.614e-09 -4.087e-10 -1.368e-08  1.919e-09  1.036e-10
'MPI79A147 ' -1.116e-09 -3.558e-09  1.069e-07 -3.137e-09 -3.301e-09  5.782e-09 -9.390e-10 -3.798e-09  8.246e-10 -8.764e-10 -1.241e-09 -1.233e-09
'MPI67A142 '  9.042e-09 -9.768e-09  4.156e-08  1.019e-08  5.394e-09  3.094e-08 -1.728e-09 -5.568e-10  0.000e+00  9.207e-09  7.522e-09  5.793e-09
'MPI67A157 ' -1.895e-08 -4.969e-09  6.541e-10  1.184e-08  1.210e-08  2.825e-08  3.493e-08  4.047e-09 -2.009e-08  9.795e-09  1.245e-08 -6.882e-09
'MPI6NA132 '  1.486e-09  1.614e-09  5.697e-09  3.038e-09  5.715e-09  2.204e-08  6.569e-09  2.709e-09  0.000e+00  4.565e-09  1.333e-09  5.421e-10
'MPI6NA157 '  9.119e-09  1.993e-08  4.213e-08 -8.497e-09 -1.745e-08  4.009e-08  1.144e-08  8.136e-09  5.731e-08 -7.142e-10  2.770e-08 -1.399e-08
'MPI66M157 '  3.749e-09 -5.481e-09 -3.264e-08 -2.435e-10 -1.768e-10  3.971e-08  4.421e-10 -5.344e-09 -7.987e-09 -4.221e-09 -1.359e-08  4.743e-11
'MPI1B157  ' -9.050e-10  1.520e-10  2.339e-08 -2.761e-09 -8.073e-09 -2.868e-08  9.107e-09 -6.645e-09 -8.010e-09 -1.401e-08 -1.170e-08 -3.196e-09
'MPI1B139  '  1.494e-10  1.607e-08  3.519e-08  1.902e-09 -1.188e-08 -2.589e-08  7.756e-09  1.012e-08  2.017e-09 -3.103e-09 -5.303e-09 -6.029e-10
'MPI2B139  '  6.214e-09  6.787e-09  2.935e-08  3.451e-09 -4.566e-09 -2.626e-08  1.893e-08  7.119e-10 -1.149e-09 -2.082e-09  1.368e-09 -1.911e-10
'MPI3B139  '  4.367e-09  1.554e-08  3.315e-08  3.521e-09 -2.515e-09 -1.540e-08  1.009e-08  1.568e-09  3.779e-09 -9.581e-10  6.983e-09  7.068e-09
'MPI4B139  '  5.927e-09  1.115e-08  2.599e-08  2.896e-09  4.116e-11 -1.858e-10  1.284e-08  3.266e-09  9.653e-09 -5.880e-10  1.487e-09  8.519e-09
'MPI5B139  '  1.097e-08  1.032e-08  2.841e-08  1.212e-08  7.581e-09  2.352e-08  9.305e-09  1.570e-09  1.563e-08  1.358e-08  2.245e-09  1.489e-08
'MPI79B142 '  3.417e-11 -2.171e-09 -3.401e-09  2.166e-09  3.078e-09 -3.061e-07 -5.890e-10 -1.401e-09  2.008e-09  3.373e-09 -2.646e-09  1.240e-09
'MPI7NB142 '  5.722e-09  2.972e-08  4.501e-08 -8.387e-09 -2.722e-08  6.562e-08  5.861e-09  9.756e-09  7.495e-08 -1.426e-10  6.442e-08 -1.965e-08
