;=== Measured signals to be read - MASTU diagnostics ===
;===
;=== CY 2020 signal
;===
;=== J.W. Berkery 11/22/22:      Turned on the PF coils that had been off for some reason
;=== J.W. Berkery 11/17/22:      Added two flux loops that were accidentally left out entirely: F_D1U_03 and F_D1U_02
;=== J.W. Berkery 11/15/22:      Took out a bunch of signals
;=== J.W. Berkery 05/05/21:      New version, based on ConfigK, now with all signals in AMB or AMC
;=== J.W. Berkery 02/09/21:      Updated flux loop calibration factors
;=== J.W. Berkery 02/08/21:      Removed a few bad probes (Dave Ryan email 2/8/21)
;=== J.W. Berkery 02/04/21:      Updated some pickup calibration factors, per Dave Ryan email 2/4/21
;=== J.W. Berkery 01/26/21:      Updated D6L calibration factor
;=== J.W. Berkery 01/20/21:      A few small changes from ConfigJ to ConfigK
;=== J.W. Berkery 01/20/21:      From ConfigF - Setup for ConfigJ, per Dave Ryan
;=== J.W. Berkery 12/04/20:      Tweaked some effective resistances. Changed VS6L and 5L from F_XL_07 to 05
;=== J.W. Berkery 12/02/20:      Turned on D1, DP, and D7 coils
;=== J.W. Berkery 11/30/20:      Updated with b_c2 polarity reversals from Lucy
;=== J.W. Berkery 11/24/20:      Updated with loop voltages, vessel segments, and polarity reversals from Lucy
;=== J.W. Berkery 11/12/20:      Setup for ConfigF, per Dave Ryan
;=== J.W. Berkery 11/06/20:      Setup for ConfigE, per Dave Ryan (same flux loops as D, adding Mirnovs. Need to check F_C_A03)
;=== J.W. Berkery 10/27/20:      Setup for ConfigD, per Dave Ryan
;=== J.W. Berkery 09/29/20:      Setup for ConfigC, per Dave Ryan
;=== J.W. Berkery 05/19/20:      Fixed one flux loop tag name and added loop voltage tags to vessel segments
;=== J.W. Berkery 05/14/20:      Updated loop voltages. But, the non-integrated signals don't actually exist in uda yet 
;=== J.W. Berkery 05/14/20:      Updated the names of the Shaping coils and coil case currents
;=== J.W. Berkery 05/14/20:      Updated the names of the Mirnov coils
;=== J.W. Berkery 05/14/20:      Updated the names of the vessel segments. Don't have corresponding loop voltages yet
;=== J.W. Berkery 05/13/20:      Flux loop names updated. *Everything else still from MAST*
;=== J.W. Berkery 02/24/20:      Copied from MAST - needs to be updated for MASTU
;===
;=== Computed "signals" based on measurements ===
;===
;=== NOTE: map index is one greater than the corresponding IDL array index
;===       (i.e., ioh, map index 1 = ioh[0], etc.)
;===
;=== NOTE: See notes at end for stated errors, bit noise, etc. as well as definitions
;=== 
;Name   sigl  map    map  MDS Read      Error    Signal Use Conversion  Pri Fit  t  Smoothing   Designation
;       type  var    indx tree sig? rel  abs  threshold err? factor         wgt idx win (s)     Data    Auxiliary
;===========================================================================================================================================================
;
; Ohmic
;
P1        OH  ioh       1  e  y  0.020  20.0     40.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P1          - ; kA -> A
;
; Shaping coils
;
PCL       SC  icoil     1  e  n  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/PXU         - ; kA -> A
PXL       SC  icoil     2  e  n  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/PXL         - ; 
P4U       SC  icoil     3  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P4U         - ; 
P4L       SC  icoil     4  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P4L         - ; 
P5U       SC  icoil     5  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P5U         - ; 
P5L       SC  icoil     6  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P5L         - ; 
P6U       SC  icoil     7  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC/ROGEXT/P6U         - ; 
