Diagnostic,StdDev,Fit Weight
Ip,2,1
CFL01,0.5,1
CFL02,0.5,1
CFL03,0.5,1
CFL04,0.5,1
CFL05,0.5,1
CFL06,0.5,1
CFL07,0.5,1
CFL08,0.5,1
CFL09,0.5,1
CFL10,0.5,1
CFL11,0.5,1
CFL12,0.5,1
CFL13,0.5,1
CPA01,1,1
CPA02,1,1
CPA03,1,1
CPA04,1,1
CPA05,1,1
CPA06,1,1
CPA07,1,1
CPA08,1,1
CPA09,1,1
CPA10,1,1
CPA11,1,1
CPA12,1,1
CPA13,1,1
CPA14,1,1
CPA15,1,1
CPA16,1,1
CPA17,1,1
CPA18,1,1
CPA19,1,1
CPA20,1,1
CPA21,1,1
CTOR1,1,1
CTOR2,1,1
CTOR3,1,1
CTOR4,1,1
CTOR5,1,1
CTOR6,1,1
NCFL01,1,1
NCFL02,1,1
NCFL03,1,1
NCFL04,1,1
NCFL05,1,1
NCFL06,1,1
NCFL07,1,1
NCFL08,1,1
NCFL09,1,1
NCFL10,1,1
NCFL11,1,1
NCFL12,1,1
NCFL13,1,1
NCFL14,1,1
NCFL15,1,1
NCFL16,1,1
NCFL17,1,1
NCFL18,1,1
NCFL19,1,1
NCFL20,1,1
OTOR1,1,1
OTOR2,1,1
OTOR3,1,1
OTOR4,1,1
OTOR5,1,1
OTOR6,1,1
PDX01,1,1
PDX02,1,1
PDX03,1,1
PDX04,1,1
PDX05,1,1
PDX06,1,1
PDX07,1,1
PDX08,1,1
PDX09,1,1
PDX10,1,1
PDX11,1,1
PDX12,1,1
PDX13,1,1
WFL01,0.5,1
WFL02,0.5,1
WFL03,0.5,1
WFL04,0.5,1
WFL05,0.5,1
WFL06,0.5,1
WFL07,0.5,1
WFL08,0.5,1
WFL09,0.5,1
WFL10,0.5,1
WFL11,0.5,1
WFL12,0.5,1
WFL13,0.5,1
WFL14,0.5,1
WFL15,0.5,1
WFL16,0.5,1
diamag,5,1
MonotonicQ,0.01,1
